resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,time
1,18,1,1,22,1,1,1,10,58,1:34:50.616
2,18,2,2,3,5,2,2,8,58,+5.478
3,18,3,3,7,7,3,3,6,58,+8.163
4,18,4,4,5,11,4,4,5,58,+17.181
5,18,5,1,23,3,5,5,4,58,+18.014
6,18,6,3,8,13,6,6,3,57,\N
7,18,7,5,14,17,7,7,2,55,\N
8,18,8,6,1,15,8,8,1,53,\N
9,18,9,2,4,2,\N,9,0,47,\N
10,18,10,7,12,18,\N,10,0,43,\N
11,18,11,8,18,19,\N,11,0,32,\N
12,18,12,4,6,20,\N,12,0,30,\N
13,18,13,6,2,4,\N,13,0,29,\N
14,18,14,9,9,8,\N,14,0,25,\N
15,18,15,7,11,6,\N,15,0,19,\N
16,18,16,10,20,22,\N,16,0,8,\N
17,18,17,9,10,14,\N,17,0,0,\N
18,18,18,11,16,12,\N,18,0,0,\N
19,18,19,8,19,21,\N,19,0,0,\N
20,18,20,5,15,9,\N,20,0,0,\N
21,18,21,10,21,16,\N,21,0,0,\N
22,18,22,11,17,10,\N,22,0,58,\N
23,19,8,6,1,2,1,1,10,56,1:31:18.555
24,19,9,2,4,4,2,2,8,56,+19.570
25,19,5,1,23,8,3,3,6,56,+38.450
26,19,15,7,11,3,4,4,5,56,+45.832
27,19,1,1,22,9,5,5,4,56,+46.548
28,19,2,2,3,5,6,6,3,56,+49.833
29,19,17,9,10,6,7,7,2,56,+1:08.130
30,19,4,4,5,7,8,8,1,56,+1:10.041
31,19,14,9,9,12,9,9,0,56,+1:16.220
32,19,18,11,16,11,10,10,0,56,+1:26.214
33,19,12,4,6,13,11,11,0,56,+1:32.202
34,19,21,10,21,17,12,12,0,55,\N
35,19,22,11,17,14,13,13,0,55,\N
36,19,3,3,7,16,14,14,0,55,\N
37,19,19,8,19,21,15,15,0,55,\N
38,19,11,8,18,19,16,16,0,54,\N
39,19,6,3,8,22,17,17,0,54,\N
40,19,20,5,15,15,\N,18,0,39,\N
41,19,13,6,2,1,\N,19,0,30,\N
42,19,16,10,20,20,\N,20,0,5,\N
43,19,10,7,12,10,\N,21,0,1,\N
44,19,7,5,14,18,\N,22,0,0,\N
45,20,13,6,2,2,1,1,10,57,1:31:06.970
46,20,8,6,1,4,2,2,8,57,+3.339
47,20,9,2,4,1,3,3,6,57,+4.998
48,20,2,2,3,6,4,4,5,57,+8.409
49,20,5,1,23,5,5,5,4,57,+26.789
50,20,15,7,11,7,6,6,3,57,+41.314
51,20,17,9,10,11,7,7,2,57,+45.473
52,20,3,3,7,8,8,8,1,57,+55.889
53,20,10,7,12,13,9,9,0,57,+1:09.500
54,20,4,4,5,10,10,10,0,57,+1:17.181
55,20,22,11,17,12,11,11,0,57,+1:17.862
56,20,21,10,21,18,12,12,0,56,\N
57,20,1,1,22,3,13,13,0,56,\N
58,20,6,3,8,16,14,14,0,56,\N
59,20,7,5,14,15,15,15,0,56,\N
60,20,19,8,19,21,16,16,0,56,\N
61,20,11,8,18,22,17,17,0,56,\N
62,20,14,9,9,17,18,18,0,56,\N
63,20,16,10,20,20,19,19,0,56,\N
64,20,12,4,6,14,\N,20,0,40,\N
65,20,18,11,16,9,\N,21,0,19,\N
66,20,20,5,15,19,\N,22,0,0,\N
67,21,8,6,1,1,1,1,10,66,1:38:19.051
68,21,13,6,2,3,2,2,8,66,+3.228
69,21,1,1,22,5,3,3,6,66,+4.187
70,21,9,2,4,4,4,4,5,66,+5.694
71,21,17,9,10,7,5,5,4,66,+35.938
72,21,18,11,16,13,6,6,3,66,+53.010
73,21,6,3,8,12,7,7,2,66,+58.244
74,21,15,7,11,8,8,8,1,66,+59.435
75,21,2,2,3,9,9,9,0,66,+1:03.073
76,21,21,10,21,19,10,10,0,65,\N
77,21,10,7,12,14,11,11,0,65,\N
78,21,14,9,9,17,12,12,0,65,\N
79,21,11,8,18,22,13,13,0,65,\N
80,21,3,3,7,15,\N,14,0,41,\N
81,21,4,4,5,2,\N,15,0,34,\N
82,21,22,11,17,11,\N,16,0,34,\N
83,21,5,1,23,6,\N,17,0,21,\N
84,21,19,8,19,21,\N,18,0,8,\N
85,21,7,5,14,16,\N,19,0,7,\N
86,21,12,4,6,10,\N,20,0,6,\N
87,21,16,10,20,20,\N,21,0,0,\N
88,21,20,5,15,18,\N,22,0,0,\N
89,22,13,6,2,1,1,1,10,58,1:26:49.451
90,22,1,1,22,3,2,2,8,58,+3.779
91,22,8,6,1,4,3,3,6,58,+4.271
92,22,9,2,4,5,4,4,5,58,+21.945
93,22,2,2,3,9,5,5,4,58,+38.741
94,22,4,4,5,7,6,6,3,58,+53.724
95,22,17,9,10,6,7,7,2,58,+1:04.229
96,22,3,3,7,11,8,8,1,58,+1:11.406
97,22,14,9,9,10,9,9,0,58,+1:15.270
98,22,15,7,11,8,10,10,0,58,+1:16.344
99,22,18,11,16,13,11,11,0,57,\N
100,22,5,1,23,2,12,12,0,57,\N
